Channel 1	Channel 2
2.532533	1.984675
2.537538	1.972502
2.542543	1.957366
2.547548	1.945513
2.552553	1.932700
2.557558	1.918925
2.562563	1.905952
2.567568	1.895220
2.572573	1.882567
2.577578	1.868712
2.582583	1.856860
2.587588	1.844367
2.592593	1.830672
2.597598	1.818019
2.602603	1.805285
2.607608	1.791831
2.612613	1.777976
2.617618	1.765483
2.622623	1.752109
2.627628	1.739776
2.632633	1.726242
2.637638	1.712067
2.642643	1.700214
2.647648	1.688122
2.652653	1.676189
2.657658	1.663215
2.662663	1.650242
2.667668	1.639190
2.672673	1.626617
2.677678	1.612762
2.682683	1.599949
2.687688	1.587295
2.692693	1.577365
2.697698	1.564952
2.702703	1.551577
2.707708	1.538043
2.712713	1.527072
2.717718	1.515139
2.722723	1.504167
2.727728	1.490073
2.732733	1.476698
2.737738	1.464766
2.742743	1.453554
2.747748	1.441141
2.752753	1.427046
2.757758	1.415834
2.762763	1.404622
2.767768	1.391248
2.772773	1.379476
2.777778	1.369225
2.782783	1.356572
2.787788	1.344078
2.792793	1.333587
2.797798	1.322616
2.802803	1.311484
2.807808	1.300833
2.812813	1.287699
2.817818	1.275206
2.822823	1.264955
2.827828	1.253663
2.832833	1.241730
2.837838	1.230839
2.842843	1.218666
2.847848	1.207374
2.852853	1.196723
2.857858	1.185591
2.862863	1.175100
2.867868	1.164529
2.872873	1.151715
2.877878	1.140584
2.882883	1.132815
2.887888	1.119602
2.892893	1.110472
2.897898	1.099260
2.902903	1.088769
2.907908	1.079639
2.912913	1.069308
2.917918	1.059458
2.922923	1.050328
2.927928	1.040078
2.932933	1.028465
2.937938	1.019736
2.942943	1.008765
2.947948	0.999955
2.952953	0.990185
2.957958	0.979854
2.962963	0.969683
2.967968	0.960393
2.972973	0.950623
2.977978	0.940693
2.982983	0.930842
2.987988	0.920752
2.992993	0.911222
2.997998	0.902492
3.003003	0.892802
3.008008	0.882311
3.013013	0.873502
3.018018	0.864132
3.023023	0.854682
3.028028	0.845873
3.033033	0.837143
3.038038	0.827854
3.043043	0.819044
3.048048	0.810155
3.053053	0.801105
3.058058	0.792296
3.063063	0.783647
3.068068	0.774998
3.073073	0.766589
3.078078	0.757379
3.083083	0.748650
3.088088	0.740642
3.093093	0.732713
3.098098	0.723824
3.103103	0.715095
3.108108	0.707406
3.113113	0.699158
3.118118	0.690669
3.123123	0.682420
3.128128	0.674572
3.133133	0.667044
3.138138	0.659676
3.143143	0.650947
3.148148	0.643579
3.153153	0.636211
3.158158	0.628443
3.163163	0.620275
3.168168	0.612666
3.173173	0.605139
3.178178	0.598251
3.183183	0.590964
3.188188	0.583836
3.193193	0.576388
3.198198	0.569821
3.203203	0.562694
3.208208	0.555806
3.213213	0.548439
3.218218	0.541231
3.223223	0.534504
3.228228	0.527376
3.233233	0.520649
3.238238	0.513522
3.243243	0.506635
3.248248	0.499667
3.253253	0.493581
3.258258	0.487334
3.263263	0.480367
3.268268	0.473880
3.273273	0.468274
3.278278	0.462268
3.283283	0.455781
3.288288	0.449294
3.293293	0.443848
3.298298	0.437842
3.303303	0.432316
3.308308	0.425829
3.313313	0.419182
3.318318	0.413656
3.323323	0.408131
3.328328	0.402204
3.333333	0.396759
3.338338	0.391153
3.343343	0.385307
3.348348	0.379861
3.353353	0.373854
3.358358	0.369129
3.363363	0.363524
3.368368	0.358078
3.373373	0.352792
3.378378	0.347907
3.383383	0.343022
3.388388	0.337896
3.393393	0.332691
3.398398	0.327726
3.403403	0.322520
3.408408	0.318196
3.413413	0.313711
3.418418	0.308986
3.423423	0.304581
3.428428	0.299536
3.433433	0.294971
3.438438	0.291047
3.443443	0.286242
3.448448	0.282318
3.453453	0.278073
3.458458	0.273268
3.463463	0.269184
3.468468	0.265340
3.473473	0.260775
3.478478	0.256931
3.483483	0.252847
3.488488	0.249083
3.493493	0.244758
3.498498	0.240914
3.503504	0.236990
3.508509	0.233386
3.513514	0.229702
3.518519	0.225778
3.523524	0.222254
3.528529	0.218891
3.533534	0.215367
3.538539	0.211763
3.543544	0.208480
3.548549	0.205196
3.553554	0.201513
3.558559	0.198469
3.563564	0.195266
3.568569	0.192063
3.573574	0.188699
3.578579	0.185736
3.583584	0.182532
3.588589	0.179409
3.593594	0.176206
3.598599	0.173083
3.603604	0.170520
3.608609	0.167397
3.613614	0.164513
3.618619	0.161711
3.623624	0.158908
3.628629	0.156105
3.633634	0.153622
3.638639	0.150979
3.643644	0.148016
3.648649	0.145614
3.653654	0.142891
3.658659	0.140408
3.663664	0.138086
3.668669	0.135523
3.673674	0.133200
3.678679	0.130798
3.683684	0.128315
3.688689	0.126153
3.693694	0.123831
3.698699	0.121668
3.703704	0.119506
3.708709	0.117424
3.713714	0.115261
3.718719	0.113099
3.723724	0.110857
3.728729	0.109015
3.733734	0.107013
3.738739	0.104850
3.743744	0.103089
3.748749	0.101006
3.753754	0.099245
3.758759	0.097483
3.763764	0.095481
3.768769	0.093799
3.773774	0.091877
3.778779	0.090275
3.783784	0.088513
3.788789	0.087072
3.793794	0.085390
3.798799	0.083708
3.803804	0.082106
3.808809	0.080585
3.813814	0.079143
3.818819	0.077622
3.823824	0.076020
3.828829	0.074579
3.833834	0.072977
3.838839	0.071696
3.843844	0.070334
3.848849	0.068893
3.853854	0.067451
3.858859	0.066170
3.863864	0.064728
3.868869	0.063447
3.873874	0.062165
3.878879	0.061124
3.883884	0.059843
3.888889	0.058722
3.893894	0.057440
3.898899	0.056560
3.903904	0.055438
3.908909	0.054477
3.913914	0.053196
3.918919	0.052075
3.923924	0.051194
3.928929	0.049993
3.933934	0.049032
3.938939	0.048071
3.943944	0.047270
3.948949	0.046068
3.953954	0.045188
3.958959	0.044146
3.963964	0.043346
3.968969	0.042304
3.973974	0.041584
3.978979	0.040623
3.983984	0.039902
3.988989	0.038861
3.993994	0.038220
3.998999	0.037499
4.004004	0.036618
4.009009	0.035898
4.014014	0.035017
4.019019	0.034216
4.024024	0.033575
4.029029	0.032855
4.034034	0.032294
4.039039	0.031493
4.044044	0.030852
4.049049	0.030292
4.054054	0.029491
4.059059	0.028930
4.064064	0.028210
4.069069	0.027809
4.074074	0.027088
4.079079	0.026528
4.084084	0.026127
4.089089	0.025487
4.094094	0.024766
4.099099	0.024446
4.104104	0.023805
4.109109	0.023324
4.114114	0.022924
4.119119	0.022283
4.124124	0.021883
4.129129	0.021402
4.134134	0.021082
4.139139	0.020521
4.144144	0.020121
4.149149	0.019560
4.154154	0.019000
4.159159	0.018760
4.164164	0.018359
4.169169	0.018039
4.174174	0.017719
4.179179	0.017238
4.184184	0.016838
4.189189	0.016437
4.194194	0.016197
4.199199	0.015877
4.204204	0.015316
4.209209	0.015076
4.214214	0.014595
4.219219	0.014435
4.224224	0.014195
4.229229	0.013874
4.234234	0.013634
4.239239	0.013234
4.244244	0.012994
4.249249	0.012673
4.254254	0.012513
4.259259	0.012113
4.264264	0.011632
4.269269	0.011472
4.274274	0.011232
4.279279	0.010911
4.284284	0.010831
4.289289	0.010751
4.294294	0.010511
4.299299	0.010110
4.304304	0.009870
4.309309	0.009630
4.314314	0.009390
4.319319	0.008989
4.324324	0.008989
4.329329	0.008829
4.334334	0.008509
4.339339	0.008429
4.344344	0.008188
4.349349	0.008028
4.354354	0.007948
4.359359	0.007548
4.364364	0.007708
4.369369	0.007548
4.374374	0.007147
4.379379	0.007067
4.384384	0.007067
4.389389	0.006747
4.394394	0.006747
4.399399	0.006507
4.404404	0.006347
4.409409	0.006106
4.414414	0.005946
4.419419	0.005866
4.424424	0.005866
4.429429	0.005626
4.434434	0.005386
4.439439	0.005466
4.444444	0.005386
4.449449	0.005225
4.454454	0.005145
4.459459	0.005065
4.464464	0.004985
4.469469	0.004825
4.474474	0.004825
4.479479	0.004505
4.484484	0.004665
4.489489	0.004505
4.494494	0.004344
4.499499	0.004344
4.504505	0.004184
4.509510	0.004264
4.514515	0.004104
4.519520	0.004104
4.524525	0.003864
4.529530	0.003944
4.534535	0.003624
4.539540	0.003864
4.544545	0.003624
4.549550	0.003624
4.554555	0.003544
4.559560	0.003463
4.564565	0.003303
4.569570	0.003383
4.574575	0.003063
4.579580	0.003223
4.584585	0.003223
4.589590	0.002983
4.594595	0.002983
4.599600	0.002903
4.604605	0.002903
4.609610	0.002823
4.614615	0.002663
4.619620	0.002743
4.624625	0.002743
4.629630	0.002583
4.634635	0.002663
4.639640	0.002583
4.644645	0.002422
4.649650	0.002422
4.654655	0.002502
4.659660	0.002422
4.664665	0.002502
4.669670	0.002182
4.674675	0.002262
4.679680	0.002182
4.684685	0.002102
4.689690	0.002022
4.694695	0.001942
4.699700	0.001942
4.704705	0.002022
4.709710	0.002102
4.714715	0.002022
4.719720	0.002022
4.724725	0.001942
4.729730	0.001862
4.734735	0.001782
4.739740	0.001782
4.744745	0.001942
4.749750	0.001702
4.754755	0.001942
4.759760	0.001622
4.764765	0.001702
4.769770	0.001702
4.774775	0.001702
4.779780	0.001702
4.784785	0.001622
4.789790	0.001541
4.794795	0.001541
4.799800	0.001541
4.804805	0.001702
4.809810	0.001702
4.814815	0.001541
4.819820	0.001461
4.824825	0.001541
4.829830	0.001461
4.834835	0.001461
4.839840	0.001381
4.844845	0.001381
4.849850	0.001381
4.854855	0.001221
4.859860	0.001301
4.864865	0.001141
4.869870	0.001381
4.874875	0.001381
4.879880	0.001301
4.884885	0.001301
4.889890	0.001381
4.894895	0.001301
4.899900	0.001381
4.904905	0.001461
4.909910	0.001141
4.914915	0.001301
4.919920	0.001221
4.924925	0.001221
4.929930	0.001221
4.934935	0.001141
4.939940	0.001301
4.944945	0.001221
4.949950	0.001221
4.954955	0.000981
4.959960	0.000901
4.964965	0.001221
4.969970	0.000981
4.974975	0.001061
4.979980	0.001061
4.984985	0.001061
4.989990	0.001221
4.994995	0.001141
5.000000	0.001061
0.000000	0.001221
